"version_number","update_type","update_title","update_description","update_date"
"0.9.2","Major","Tutorial Update","* Fixed various bugs involving initial version of tutorial

* Fixed btn_2_8 not showing any gene data due to a mapping issue

* Updated internal file structure heavily, with a restructure of config files mainly.","2026-07-07"
"0.9.1","Major","Tutorial Update","* Added a tutorial, allowing users to move through a series of tutorial steps to familiarize themselves with the website, and how to use and navigate it.

* Fixed various popup bugs, mainly related to spam clicking a popup button like the Download Figures button while a page was still refreshing.

* Additional minor bug fixes and improvements.","2026-07-03"
"0.8.4","Minor","","* Modified several css styling rules to improve cross-browser compatibility.

* Changed default font size to small for bubbleplot/heatmap pages.","2026-06-17"
"0.8.3","Minor","","* Updated dark mode UI so the logo is less jarring, as well as fixing other minor dark mode related bugs

* Updated descriptions and explanation text for multiple sections.

* Fixed cross-browser navigation structure warnings by moving reference/footer content into the navbar footer.

* Improved Safari and Firefox compatibility for scrolling, modal cleanup, hash navigation, and interactive table highlighting.

* Simplified gene query selection styling to avoid odd text highlighting behavior across browsers.","2026-06-14"
"0.8.2","Minor","","* Updated default settings for a few plots

* Updates figure download options and fixed automatic refresh on the Interactive Data plots.

* Added more default genes to the multiple geneExpr plot.","2026-06-03"
"0.8.1","Major","Navigation Restructure and Figure Explanations","* Updated Patch Notes page to be more precise, as well as fixing a few typos.

* Updated Proportion Plot to use Seurat clusters as a default, and changes x/y values.

* Removed CellInfo vs CellInfo and GeneExpr vs GeneExpr tabs as they were redundant.

* Updated navigation to be a more nested style. Subject to change, however.

* Updated dark mode to invert home page prerview icons as well as making a dark move variation of the submenus.","2026-06-01"
"0.7.1","Major","Multiple Gene Expression","* New page added to each main dataset tab, containing a dotplot and cell statistics table for the inputted gene(s), as well as allowing CSV input upload, given the correct input format/requirements.

* Logo updated to remove a slightly off-color white background.

* Added a legend toggle for downloads/displays of figures and plots.","2026-05-18"
"0.6.4","Minor","","* Added a bar to the Spermatogonia Table page that users can input a custom threshold for gene expression levels into, which automatically updates the table with new cells above the threshold.","2026-04-02"
"0.6.3","Minor","","* Slight change to RA dot and line plots, as they would flash as if reloading despite the reload button not being pressed.","2026-03-31"
"0.6.2","Minor","","* General bug fixes.

* Moved the download buttons to the left-hand side of the pages, rather than on the figure container on the right.","2026-03-26"
"0.6.1","Minor","","* Relatively small resolution update, focusing on forcing container widths to remain consistent. Not much technical change, just a lot of CSS edits to fix up resolution issues.

* Fixed the Cell Numbers and Statistics tables.","2026-03-24"
"0.6","Major","Networking Update","* Using Firefox Developer Tools, we took a closer look at the networking of the site, as well as its startup performance, which at this stage was rather slow. Previously, the home page would fully load every other page on the site before allowing users in, which resulted in the aforementioned long startup times.

* Preview icons were also shrunk marginally to again reduce load on the startup and page-loading processes.","2026-03-24"
